country,country_code,year,PPPPC,rule_law,control_corruption,government_effectiveness,regulatory_quality,tax_efficiency,justice,state_reform,public_policy,government_tax,starting_business,public_services,territorial_coverage,poverty,unemp_youth,literacy,gini,mortality_u5,maternal_mortality,sanitation,electricity
Afghanistan,512,2012,1875.016406,-1.72303009,-1.4115659,-1.397558093,-1.210008383,1.25,2.799999952,1.5,1.200000048,7.954843889,4,0.400000006,1,,19.70000076,46.99005127,,99.5,496,30.5,43
Albania,914,2012,10517.93921,-0.569308341,-0.723547757,-0.280327499,0.167965606,2,2.200000048,3,2.200000048,18.26595083,4,2.400000095,2.5,1.5,28.29999924,99.23139954,28.96,15.5,30,92.1,100
Algeria,612,2012,13273.17388,-0.753692389,-0.475628614,-0.547128677,-1.292589307,2.5,1.600000024,1.75,1.600000024,36.78840846,1.5,2.200000048,2.833333254,2,26.29999924,,,26.1,145,87,100
Angola,614,2012,6670.668082,-1.276352167,-1.29587853,-1.023269653,-0.977499008,0.75,1,2.25,1.799999952,43.82586219,2.5,1,1.333333373,0,10.69999981,72.98182678,,172.2,526,49.1,37
Anguilla,312,2012,29051.18791,1.398365259,1.294389725,1.516752839,1.309333324,,,,,,,,,,,,,,,,
Antigua and Barbuda,311,2012,21496.7179,0.969960809,1.294389725,0.477433205,0.59355104,,,,,18.37642628,,,,,,,,9.1,,,90.87544
Argentina,213,2012,21341.90415,-0.714045763,-0.48757717,-0.254901975,-0.960950196,3,3,3.5,1.799999952,22.35623634,2,1.799999952,2.333333254,0.5,18.39999962,99.26104736,42.28,13.8,55,95.5,99.8
Armenia,911,2012,7418.097755,-0.398126364,-0.529023409,-0.036416579,0.328823239,1.75,2.200000048,2.75,2,16.95555575,3.5,2.400000095,2,1.5,35,99.84739685,31.54,16.3,30,89.5,100
Australia,193,2012,44298.31136,1.746008277,1.99613142,1.612136126,1.769260049,4,3.799999952,4,3.400000095,26.73807768,4,3.200000048,3.5,4,11.69999981,,34.94,4.3,6,100,100
Austria,122,2012,45379.11594,1.84187007,1.348617673,1.557238698,1.512388945,4,3.799999952,2.75,2.799999952,,3,4,4,4,8.699999809,98.00550079,30.48,4,4,100,100
